name,ring,quadrant,isNew,description
"C#",adopt,"Languages and Frameworks",true,"<a href='https://docs.microsoft.com/en-us/dotnet/csharp/'>C#</a> is our language of choice. It's strongly-typed, blends functional and object-oriented programming and works on all the OS we need to support."
"TypeScript",adopt,"Languages and Frameworks",true,"<a href='https://www.typescriptlang.org/'>TypeScript</a> is our default choice for running code in the browser. It's strongly-typed and smoothes out the rough bits of JavaScript."
"Go",hold,"Languages and Frameworks",true,"<a href='https://golang.org/'>Go</a> is the natural language to use when writing cloud native software. But it is now possible to achieve good results in C# anyway."
"Java 8",hold,"Languages and Frameworks",true,"Redgate purchased Flyway, written in <a href='https://www.oracle.com/java/'>Java</a>. We have navigated away from older JVM now that LTS has finally moved on."
"Java 17",adopt,"Languages and Frameworks",true,"Redgate purchased Flyway, written in <a href='https://www.oracle.com/java/'>Java</a>. We now use version 17 as is LTS and now fundamental to our Flyway strategy (we ship v21 but are using v17 language features and changing is a breaking change to the API)"
"Java 25",assess,"Languages and Frameworks",true,"Redgate purchased Flyway, written in <a href='https://www.oracle.com/java/'>Java</a>. 25 is the next LTS and we should seriously consider migrating once its stable."
"Bash",adopt,"Languages and Frameworks",true,"<a href='https://www.gnu.org/software/bash/'>Bash</a> is our default choice for scripting internal tools. Everyone should be familiar with the Bash toolkit."
"Python",adopt,"Languages and Frameworks",true,"<a href='https://www.python.org/'>Python</a> is the most popular language for Machine Learning due to its extensive libraries, frameworks and data science community support. Teams starting new projects that involve AI/ML should default to Python, especially if model training is needed. When used as a scripting tool, Python provides a powerful language for gluing components together. We encourage trialling Python when the alternative would be a large Bash script (caveated by why isn't it easy to write a Bash script?). "
"PowerShell",hold,"Languages and Frameworks",true,"Don't use PowerShell for new projects - prefer Bash."
".NET 8",adopt,"Languages and Frameworks",true,"<a href='https://dotnet.microsoft.com/'>.NET 8</a> is the latest LTS version of .NET, supported until November 10, 2026. It is cross-platform and a great choice for desktop, web and cloud-based applications."
"Web API (ASP.NET Core)",adopt,"Languages and Frameworks",true,"<a href='https://learn.microsoft.com/en-us/aspnet/core/web-api'>ASP.NET Core Web API</a> for building RESTful APIs on .NET"
"React",adopt,"Languages and Frameworks",true,"<a href='https://reactjs.org/'>React</a> makes it painless to create interactive UIs."
"Electron",adopt,"Platforms",true,"Electron has proved itself for developing web-based desktop products. It's our default choice for new desktop-based applications."
"WinForms",hold,"Languages and Frameworks",true,"Don't use WinForms for new projects - prefer Electron."
"WPF",hold,"Languages and Frameworks",true,"Don't use WPF for new projects - prefer Electron."
"Object–relational mappers (ORMs)",trial,"Languages and Frameworks",true,"Unless working with a large number of simple entities (or support for several different DB Backends), prefer writing SQL directly or using a lightweight object mapper such as <a href='https://github.com/DapperLib/Dapper'>Dapper</a>."
"Blazor",hold,"Languages and Frameworks",true,"<a href='https://dotnet.microsoft.com/apps/aspnet/web-apps/blazor'>Blazor</a> is super exciting. It means we might get to leverage our existing C# skills in the browser. However, we are making good progress standardizing on React, so we're putting this on hold. (see <a href='https://github.com/red-gate/Tech-Radar/issues/361'>discussion to upgrade</a>)"
"Razor Pages",hold,"Languages and Frameworks",true,"<a href='https://learn.microsoft.com/en-us/aspnet/core/razor-pages'>Razor Pages</a> can make coding page-focused scenarios easier and more productive than using controllers and views. We have chosen to adopt React instead."
